Pozo,Fecha,Salinidad
SITIO_GDE_6D,04/01/1983,
SITIO_GDE_6D,10/01/1983,
SITIO_GDE_6D,24/01/1983,
SITIO_GDE_6D,02/03/1983,
SITIO_GDE_6D,14/03/1983,
SITIO_GDE_6D,05/04/1983,
SITIO_GDE_6D,08/08/1983,
SITIO_GDE_6D,11/08/1983,
SITIO_GDE_6D,17/08/1983,
SITIO_GDE_6D,05/09/1983,
SITIO_GDE_6D,20/09/1983,
SITIO_GDE_6D,28/09/1983,
SITIO_GDE_6D,30/09/1983,
SITIO_GDE_6D,03/10/1983,
SITIO_GDE_6D,19/10/1983,
SITIO_GDE_6D,24/10/1983,
SITIO_GDE_6D,01/11/1983,
SITIO_GDE_6D,15/11/1983,
SITIO_GDE_6D,06/12/1983,
SITIO_GDE_6D,12/12/1983,
SITIO_GDE_6D,27/12/1983,
SITIO_GDE_6D,05/01/1984,
SITIO_GDE_6D,09/01/1984,
SITIO_GDE_6D,18/01/1984,
SITIO_GDE_6D,23/01/1984,
SITIO_GDE_6D,30/01/1984,
SITIO_GDE_6D,09/05/1984,
SITIO_GDE_6D,28/05/1984,
SITIO_GDE_6D,11/06/1984,
SITIO_GDE_6D,29/06/1984,100000
SITIO_GDE_6D,02/07/1984,
SITIO_GDE_6D,11/07/1984,150000
SITIO_GDE_6D,30/07/1984,
SITIO_GDE_6D,13/08/1984,
SITIO_GDE_6D,27/08/1984,
SITIO_GDE_6D,02/10/1984,110000
SITIO_GDE_6D,22/10/1984,180000
SITIO_GDE_6D,26/10/1984,
SITIO_GDE_6D,31/10/1984,
SITIO_GDE_6D,20/12/1984,185000
SITIO_GDE_6D,27/12/1984,
SITIO_GDE_6D,08/01/1985,
SITIO_GDE_6D,16/01/1985,145000
SITIO_GDE_6D,06/02/1985,65000
SITIO_GDE_6D,06/03/1985,210000
SITIO_GDE_6D,22/04/1985,225000
SITIO_GDE_6D,04/06/1985,
SITIO_GDE_6D,17/06/1985,215000
SITIO_GDE_6D,08/07/1985,55000
SITIO_GDE_6D,15/07/1985,210000
SITIO_GDE_6D,23/07/1985,120000
SITIO_GDE_6D,29/07/1985,3000
SITIO_GDE_6D,05/08/1985,180000
SITIO_GDE_6D,14/08/1985,
SITIO_GDE_6D,09/09/1985,195000
SITIO_GDE_6D,14/10/1985,175000
SITIO_GDE_6D,21/10/1985,162000
SITIO_GDE_6D,29/10/1985,230000
SITIO_GDE_6D,05/11/1985,215000
SITIO_GDE_6D,11/12/1985,190000
SITIO_GDE_6D,18/12/1985,
SITIO_GDE_6D,03/03/1986,161000
SITIO_GDE_6D,21/03/1986,195000
SITIO_GDE_6D,07/04/1986,215000
SITIO_GDE_6D,22/04/1986,218000
SITIO_GDE_6D,30/04/1986,180000
SITIO_GDE_6D,09/05/1986,200000
SITIO_GDE_6D,20/05/1986,247000
SITIO_GDE_6D,26/05/1986,236000
SITIO_GDE_6D,02/06/1986,
SITIO_GDE_6D,17/06/1986,
SITIO_GDE_6D,25/06/1986,
SITIO_GDE_6D,30/06/1986,
SITIO_GDE_6D,07/07/1986,150000
SITIO_GDE_6D,16/07/1986,203000
SITIO_GDE_6D,22/07/1986,
SITIO_GDE_6D,01/08/1986,140000
SITIO_GDE_6D,14/08/1986,172000
SITIO_GDE_6D,18/08/1986,
SITIO_GDE_6D,23/08/1986,146000
SITIO_GDE_6D,26/08/1986,
SITIO_GDE_6D,01/09/1986,190000
SITIO_GDE_6D,01/09/1986,183000
SITIO_GDE_6D,09/09/1986,
SITIO_GDE_6D,12/09/1986,200000
SITIO_GDE_6D,12/09/1986,195000
SITIO_GDE_6D,15/09/1986,157000
SITIO_GDE_6D,19/09/1986,
SITIO_GDE_6D,23/09/1986,
SITIO_GDE_6D,25/09/1986,158000
SITIO_GDE_6D,01/10/1986,
SITIO_GDE_6D,02/10/1986,35000
SITIO_GDE_6D,02/10/1986,
SITIO_GDE_6D,06/10/1986,173000
SITIO_GDE_6D,14/10/1986,158000
SITIO_GDE_6D,21/10/1986,
SITIO_GDE_6D,28/10/1986,240000
SITIO_GDE_6D,03/11/1986,
SITIO_GDE_6D,12/11/1986,175000
SITIO_GDE_6D,24/11/1986,183000
SITIO_GDE_6D,15/12/1986,61000
SITIO_GDE_6D,23/12/1986,
SITIO_GDE_6D,30/12/1986,42000
SITIO_GDE_6D,06/01/1987,
SITIO_GDE_6D,12/01/1987,168000
SITIO_GDE_6D,21/01/1987,
SITIO_GDE_6D,28/01/1987,
SITIO_GDE_6D,02/02/1987,
SITIO_GDE_6D,10/02/1987,209000
SITIO_GDE_6D,16/02/1987,186000
SITIO_GDE_6D,23/02/1987,169000
SITIO_GDE_6D,20/03/1987,
SITIO_GDE_6D,06/04/1987,183000
SITIO_GDE_6D,13/04/1987,140000
SITIO_GDE_6D,20/04/1987,184000
SITIO_GDE_6D,27/04/1987,150000
SITIO_GDE_6D,18/05/1987,
SITIO_GDE_6D,25/05/1987,117000
SITIO_GDE_6D,03/06/1987,
SITIO_GDE_6D,08/06/1987,120000
SITIO_GDE_6D,09/06/1987,124000
SITIO_GDE_6D,15/06/1987,137000
SITIO_GDE_6D,24/06/1987,118000
SITIO_GDE_6D,29/06/1987,
SITIO_GDE_6D,07/07/1987,
SITIO_GDE_6D,04/09/1987,120000
SITIO_GDE_6D,23/09/1987,
SITIO_GDE_6D,01/10/1987,119000
SITIO_GDE_6D,05/10/1987,151000
SITIO_GDE_6D,19/10/1987,
SITIO_GDE_6D,01/11/1987,
SITIO_GDE_6D,09/11/1987,
SITIO_GDE_6D,18/11/1987,150000
SITIO_GDE_6D,08/12/1987,125000
SITIO_GDE_6D,28/12/1987,
SITIO_GDE_6D,04/01/1988,125000
SITIO_GDE_6D,21/01/1988,135000
SITIO_GDE_6D,26/01/1988,158000
SITIO_GDE_6D,01/02/1988,
SITIO_GDE_6D,10/02/1988,165000
SITIO_GDE_6D,02/03/1988,152000
SITIO_GDE_6D,18/03/1988,146000
SITIO_GDE_6D,23/03/1988,143000
SITIO_GDE_6D,08/04/1988,138000
SITIO_GDE_6D,27/04/1988,
SITIO_GDE_6D,04/05/1988,113000
SITIO_GDE_6D,09/05/1988,166000
SITIO_GDE_6D,22/05/1988,159000
SITIO_GDE_6D,07/06/1988,157000
SITIO_GDE_6D,20/06/1988,148000
SITIO_GDE_6D,29/06/1988,165000
SITIO_GDE_6D,04/07/1988,155000
SITIO_GDE_6D,13/07/1988,140000
SITIO_GDE_6D,19/07/1988,100000
SITIO_GDE_6D,26/07/1988,175000
SITIO_GDE_6D,04/08/1988,138000
SITIO_GDE_6D,08/01/1990,80000
SITIO_GDE_6D,18/01/1990,79000
SITIO_GDE_6D,23/01/1990,
SITIO_GDE_6D,30/01/1990,156000
SITIO_GDE_6D,07/02/1990,222000
SITIO_GDE_6D,13/02/1990,136000
SITIO_GDE_6D,06/03/1990,160000
SITIO_GDE_6D,22/03/1990,165000
SITIO_GDE_6D,11/04/1990,175000
SITIO_GDE_6D,16/04/1990,222000
SITIO_GDE_6D,23/04/1990,130000
SITIO_GDE_6D,05/05/1990,162000
SITIO_GDE_6D,17/05/1990,143000
